text,label,label_2
Professor's availability to answer questions,neutral,Comprehension
no comment,neutral,Evaluation
live and interactive courses good explanations both in practical work and amphi,neutral,Application
the teacher is very interesting the explanations are clear,positive,Comprehension
New,neutral,Knowledge
no comment,neutral,Evaluation
really takes the time to explain to us every point of his course to answer our questions,positive,Comprehension
no comment,neutral,Evaluation
the teacher is very passionate about what he does and conveys his knowledge very well,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
The teacher takes the time to explain and answer all the questions,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
very interesting courses,positive,Knowledge
the clarity of the explanations and the time spent on each point so that everyone can understand,positive,Comprehension
The course allowed us to have basics in biology and to allow us to project ourselves as a future bioindustry engineer thanks to the practical work in particular,positive,Synthesis
This course really gives us the basics of biology which will serve us in our future life as an engineer,positive,Knowledge
no comment,neutral,Evaluation
This is a course of very good quality knows how to give life to biology thanks to the clarity of his explanations,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
A passionate researcher teacher who conveys the concepts with clarity,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Being currently in an internship in a research laboratory I can say that everything I have learned during this semester has been very useful in understanding the manipulations performed and the mechanisms involved Most practical works have been a plus,positive,Application
Many ongoing interactivity and tutorial practical work very enriching Clear Explanations in progress tutorial and practical work,positive,Application
Availability and explanations given by the teaching team tutorial practical work course,neutral,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Application exercises,neutral,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Link to other subjects The many application exercises,positive,Synthesis
no comment,neutral,Evaluation
no comment,neutral,Evaluation
very interesting project,positive,Application
no comment,neutral,Evaluation
good supports,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
the teacher invests a lot in the course and brings at the end chapters exercises that allow to better understand the course,positive,Synthesis
no comment,neutral,Evaluation
The projects allowed us to address very interesting topics and taught us how to manage group work,positive,Application
interactivity of the teacher available to answer the questions of the students desire to instigate an interest with the students by the realization of the evaluation project adapted to the courses,positive,Application
project good interesting initiative,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
The project was really very interesting to realiz has guided us well and has always been present to answer our questions,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
the project really helps to implement the concepts seen in progress,positive,Application
no comment,neutral,Evaluation
Student teacher interaction,neutral,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
This course allows us to understand the techniques frequently used in the industrial environment It shows us the practical aspect of the many theories and formulas that we have learned in general or physical chemistry for example,positive,Application
Personal and work enrichment Very interesting project,positive,Synthesis
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Clear explanations,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
organisation and claret of the course,positive,Comprehension
no comment,neutral,Evaluation
a very good course a very good teacher,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
very good organization it is easy to navigate clear and precise explanations supervision of reactions assessments,positive,Comprehension
no comment,neutral,Evaluation
Very dense but interesting courses The teacher is very invested and the work required is quite substantial,negative,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
highly structured and organized course evaluation demanding but adapted to the course delivered,positive,Evaluation
structured and quiet course in amphi listening to students to answer questions,positive,Application
no comment,neutral,Evaluation
Clear explanations tutorial prepares us bine for exams practical works are interesting and the teachers who frame us are present to guide us if needed but they help us above all to understand the meaning of each action so that we realize each practical work,positive,Synthesis
no comment,neutral,Evaluation
The subject is certainly very difficult but the course is very organized and the explanations are quite clear,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Organization and rigor,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Very well organized and clear courses A good synchronization between courses and tutorials,positive,Synthesis
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Makes us do sports,positive,Application
no comment,neutral,Evaluation
Good overall,positive,Evaluation
no comment,neutral,Evaluation
Dubble Dutch sport uncommon teacher nice and open patient good explanations rapid progress and therefore interest doubled for the material no decouragement because the progress is immediately visible,positive,Synthesis
A course very different from the others which allows you to let off some steam Very pleasant after many hours sitting in an amphitheatre,positive,Application
progressive physical training teacher availability,positive,Comprehension
Fun fun allows you to relax perfect No stress,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
allows you to relax a little,positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Lots of oral work and listening,neutral,Application
This allows us to strengthen our English and improve it,positive,Application
Interactivity,neutral,Application
Good interactivity better than in the first semester,positive,Application
small group work is very appreciated,positive,Application
no comment,neutral,Evaluation
Dialogue between teacher and student,neutral,Application
no comment,neutral,Evaluation
courses living with lots of exchange,positive,Application
Important English course small number Using different course materials is a good thing,positive,Synthesis
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
No,neutral,Evaluation
Nothing to report,neutral,Evaluation
Good course,positive,Evaluation
tutorials are what helped me with the finale,positive,Application
No,neutral,Evaluation
Thank you so much for this learning method! I loved it,positive,Evaluation
no comment,neutral,Evaluation
It is a very rich and interesting course. In terms of planning times to work the course I found them insufficient,positive,Evaluation
good teaching method,positive,Evaluation
More explanation on certain demonstrations especially for students like me who had not done mathematics since License 1 (license) it is complicated to get back to it after 3 years,neutral,Comprehension
No,neutral,Evaluation
"The small Moodle quizzes were good for understanding, but perhaps not enough to train and see different situations (1 or 2 more maximum)",neutral,Evaluation
"I enjoyed being able to sit down calmly to do the class, especially in paper format. Videos help to boost, however they are too fast and do not allow time to think. Moreover, the time spent on these sessions was longer than",neutral,Evaluation
The regular tutorial sessions allowed me to stay up-to-date on the essential elements despite my large lag with the course's follow-up. It is more agreeable to take a course when you are in conditions than when you are,positive,Comprehension
no comment,neutral,Evaluation
Combining master classes and online would be a more suitable method for me in particular to keep a constant rhythm.,positive,Synthesis
It was good.,positive,Evaluation
no comment,neutral,Evaluation
No,neutral,Evaluation
no comment,neutral,Evaluation
No further remarks,neutral,Evaluation
Nothing to report,neutral,Evaluation
no comment,neutral,Evaluation
"For tutorials, it is very good to let the students search for themselves. However, you shouldn't let them search for too long either. Indeed, your questionnaire mainly concerns the pace of online courses but personally and my friends had a lot of difficulty with the tutorials. Most of the time we came away from the session with just the answer even though we didn't have the mathematical approach. I understand the course with the tutorials, if I don't have the whole process, I won't understand. Also for online courses, what's the point of using a digital format if you have to write down the formulas on the keyboard, it's infeasible, you might as well go to paper format, which is not suitable for everyone",negative,Evaluation
no comment,neutral,Evaluation
no comment,neutral,Evaluation
Good teaching method,positive,Evaluation
no comment,neutral,Evaluation
I would have preferred that the Q and A sessions be replaced by tutorials. Regarding tutorials I prefer when you perform a typical exercise step by step with the teacher and gain autonomy gradually. On certain tutorial I felt lost.,negative,Evaluation
To have wanted to make the presence in tutorial mandatory since not all courses were being taken in a timely manner to make tutorial more passive than active,neutral,Evaluation
Many suitable online courses and generally tutorials have been a very good way to understand the teacher's expectations and especially to perform the required exercises well.,positive,Comprehension
Nope,neutral,Evaluation
No,neutral,Evaluation
The videos are really well made and explained in the online courses,positive,Comprehension
no comment,neutral,Evaluation
no comment,neutral,Evaluation
No,neutral,Evaluation
No,neutral,Evaluation
The removal of the master course destabilized me and therefore asked me for more work. Tutorial sessions and small training quizzes on moodle helped me to have the right methodology to succeed the exercises,neutral,Evaluation
No,neutral,Evaluation
no comment,neutral,Evaluation
Very good method allowing us to understand the course at home in silence with even apps!! Thank you,positive,Evaluation
no comment,neutral,Evaluation
"very good teaching method, requires autonomous work and allows an organisation at the level of learning of this course",positive,Evaluation
"I really liked this pedagogy which changes from traditional courses and which I find more stimulating and allows a better understanding of the course. It allows us to work alone, in peace (in a 160 auditorium) so it improves concentration",positive,Evaluation
no comment,neutral,Evaluation
"Very good course method that allowed me personally to better understand, to make personal efforts and to better understand tutorials.",positive,Comprehension
Thank you for this semester and this pedagogy that changes and makes you want to work,positive,Evaluation
no comment,neutral,Evaluation
"I really liked the online course moodle because it allowed me to really be involved with 100% in learning, without being disturbed by the noise in amphi etc. However, for students in difficulty I like to have some sessions",neutral,Evaluation
"Viewing the course online allows for much more active note-taking than in lectures in a lecture hall. This allows a better understanding of the notes from the first time they are seen. I think it is easier to get your attention in an amphitheater course, since we are participants in the course, and we can go at the pace that suits us.",positive,Comprehension
no comment,neutral,Evaluation
Make the session more interactive in amphitheatre," setting up wooclaps as in the first session that I think was the most productive because it allowed us to measure our understanding of the course in relation to the various questions""",positive
A pedagogy that works very well for this type of course, positive,Application
I kiffed., positive,Comprehension
no comment, neutral,Evaluation
No, neutral,Evaluation
"Very good method of operation. I really appreciated that you took the time to explain to us in tutorial, which was sometimes much more talking than the course itself. I find that the tutorial sessions allow the whole of the course to understand well.", positive,Knowledge
No, neutral,Evaluation
no comment, neutral,Evaluation
"No, it's okay.", neutral,Evaluation
no comment, neutral,Evaluation
Nothing to add, neutral,Evaluation
"Overall the course was well organized and working alone or as a team during the tutorial allowed us to manage ourselves and thus to better understand the exercise. On the other hand, the amphitheater sessions for the answers questions I did not", neutral,Synthesis
no comment, neutral,Evaluation
Having more spaced tutorial sessions because preparing two polycopies over a week is complicated., negative,Synthesis
No, neutral,Evaluation
Very good method, positive,Knowledge
no comment, neutral,Evaluation
"I did not attend the question-and-answer session because I didn't have any questions, tutorial sessions were enough to answer my questions.", neutral,Evaluation
No, neutral,Evaluation
"We would have to make an annals in class at the end of the semester and the students take advantage of it to ask questions. I didn't really like this way of learning, it should be a complement to the master course", negative,Synthesis
"Although we are in a group and we have reviewed the course before coming to tutorials, the latter are, most of the time, hard and the clues given during the session are sometimes too light. On the other hand, after redoing the tutorials with the correction, we understand the reasoning quite quickly although certain calculation steps are sometimes difficult to understand.",negative,Synthesis
"Despite many hours of face-to-face tutorial work and independent or group work to prepare for the final, the exam went poorly, particularly due to my lack of self-confidence in this subject (mathematically retaining/mastering the formulas at the time). perfection), I think that a realistic approach (course reminder or authorized form), would make it possible to better understand exercises, and not to waste precious time finding formulas, the complexity of the exercises making the work all the more hard",negative,Synthesis
The online courses are too long and it would be necessary to vary with master classes to better understand or give more explanations in the videos (and detailed calculations!),negative,Synthesis
no comment,neutral,Evaluation
Too much distanciel in my opinion for the understanding of the course,negative,Synthesis
"Quite an interesting approach for independent students. Personally, I very rarely go to lectures in other subjects and this allowed me to follow the courses independently, when I wanted and at the desired speed. On the other hand, I think it can be very complicated to be rigorous and you can easily get lost and be very late but there is no possible solution for this problem.",negative,Analysis
"Maybe divide the videos of the course so that they are less long, less than 5 minutes, see that a video is too long demoralize.",negative,Synthesis
No,neutral,Evaluation
"I have no comment, I enjoyed this pedagogy very much, which allowed us to work independently when we were focused and really motivated.",positive,Application
It's a very efficient method that has made the matter very interesting and affordable for me. I need to work in autonomy and at my own pace so it matched me perfectly,positive,Application
"I think that the online courses are very interesting, but we are too isolated plus the speed of explaining the applications is sometimes much too fast so we have no time at all to understand and therefore we completely lose track",negative,Comprehension
the videos are very clear and well explained,positive,Knowledge
"This working method is very autonomous, this can be good for the courses because it is true that it is difficult to concentrate during a lecture with a large class like ours, this therefore allows you to do the course independently when you wish but it depends but concerning the tutorials, this method was not suitable for me because we were too independent and did not progress at the pace, it was therefore sometimes difficult to understand the corrections because we were not not everyone has the same question. I prefer that we all move forward with the exercises together. Concerning the exercises on moodle, the correction was sometimes not very detailed so I did not do them.",negative,Synthesis
I regret that the training done at the tutorial level seen with the teacher as well as the exercises of the digital courses were not enough to succeed well the part that was proposed to us,negative,Evaluation
Good videos well explained,positive,Knowledge
No,neutral,Evaluation
"Method that requires some rigor and involvement that is quite tiring but we do it. Online courses often exceeded 1:30 for my part, especially when I did the moodle exercises.",positive,Application
no comment,neutral,Evaluation
no comment,neutral,Evaluation
The pace of autonomous sessions was too high at the end of the semester (2 last chapters) considering the overall workload for all subjects (projects),negative,Synthesis
no comment,neutral,Evaluation
This pedagogical approach is very good and allows you to organize as you wish. tutorials not only allows you to be helped by someone with more facilities but also ask questions about the course to the teacher who is very available for all students.,positive,Application
No,neutral,Evaluation
change the method,neutral,Synthesis
No,neutral,Evaluation
"If we're motivated, it works.",positive,Comprehension
Good but may lack rigour (not necessarily knowing exactly what to master),neutral,Evaluation
Nothing to report,neutral,Evaluation
Nothing to report,neutral,Evaluation
"The method is interesting, but I would have preferred that the first very theoretical courses be carried out in lectures. I had a lot of difficulty in grasping the subject at the beginning of the semester. Now it goes a little better.",positive,Comprehension
"The videos go too fast, not even time to understand a sentence that we pass directly to something else so it's annoying.",negative,Comprehension
No,neutral,Evaluation
More tutorial need to correct them in full,negative,Synthesis
no comment,neutral,Evaluation
Nothing special,neutral,Evaluation
no comment,neutral,Evaluation
The choice of this pedagogy is a great idea for students who can work alone and regularly. Videos on moodle are very well explained and very clear.,positive,Application
Good teaching method which is very beneficial when followed. Allows you not to have too much workload during the revisions.,positive,Application
No comment,neutral,Evaluation
no comment,neutral,Evaluation
No,neutral,Evaluation
no comment,neutral,Evaluation
"In terms of tutorials, I find it a shame that we spend most of the sessions just demonstrating formulas that have been explained and demonstrated in the online course. In addition, we sometimes reworked exercises from the online course, but if you follow the online course, you have already done them so it is a waste of time. I would have liked to have more different dexo (on the same notions but with different statements and subtleties which sometimes change found S, sometimes X, sometimes Q, sometimes V...). Workshop work is a good thing, but the problem is that there is often a gap in the groups because some people take the course online and others rely on the tutorials to understand the course. For people taking the online course, the workshop work is sometimes more of a waste of time than work.", negative,Synthesis
Personal difficulty in understanding exercises, negative,Evaluation
No, neutral,Evaluation
"I think it would be preferable to obtain more tutorial sessions (the administration which does not plan etc... I know that this is not your responsibility) a summary brief before the exercise view in tutorials in order to anchor the ideas, is it necessary to have a quiz 2 with a negative point The possibility of having a quiz1 in order to make the notes (or a project) more homogeneous more interactions on the future of the skills I don't want to summarize my course with the word fermenter..) i.e. how to integrate them into the different issues THANK YOU FOR YOUR DEDICATION AND SEE YOU SOON IN MAJOR PROCESS", positive,Synthesis
Nothing., neutral,Evaluation
No, neutral,Evaluation
no comment, neutral,Evaluation
"Can be a mix of the two (video courses and presentations), or bring more revisions sessions to have a better follow-up course understanding", positive,Synthesis
no comment, neutral,Evaluation
"With particular remarks, I greatly appreciated the format, which allows the freedom to dwell only on the blocking points. A pure pleasure bioprocesses real discovery Thank you Madame :D", positive,Synthesis
It's a good approach in totality nothing to improve for me, positive,Synthesis
I like this method., positive,Application
very interesting courses and the tutorials allow a concrete vision of the course, positive,Knowledge
It's cool maybe more tutorial type exam, positive,Synthesis
no comment, neutral,Evaluation
The whole course was relevant and the pedagogy was effective, positive,Synthesis
No comment, neutral,Evaluation
No, neutral,Evaluation
No, neutral,Evaluation
No comment, neutral,Evaluation
Maybe a little less autonomy in tutorial a teacher's explanation is sometimes more relevant than that of a student, neutral,Synthesis
leave the workshops in supervised work but make a collective correction on the board, positive,Synthesis
"I was a little disturbed by this learning system even if it is an interesting system. However, I think that there is a lack of summary sessions for each course, like a lecture course but which covers the important elements and/or questions and answers regularly, not at the end of the semester (a bit like the review session in the form of a card mental but at the end of each chapter). In addition, I think that the quiz could be on paper, this could allow you to have a few points ahead before the final (from my experience I understood better and succeeded in doing the demonstrations/calculations of the quiz than the final but I didn't get the average and I think that doing it on paper would have allowed me to get the average).", negative,Synthesis
no comment, neutral,Evaluation
no comment, neutral,Evaluation
No, neutral,Evaluation
Nothing to report, neutral,Evaluation
no comment, neutral,Evaluation
More adapted to each other's pace even if the many interruptions for correction and permanent communication with comrades do not promote concentration and productivity, negative,Synthesis
No further remarks, neutral,Evaluation
This method depends on far too much parameter to walk over the long term, negative,Synthesis
No, neutral,Evaluation
Make a tutorials correction with the students instead of doing the workshop method, negative,Synthesis
no comment, neutral,Evaluation
No, neutral,Evaluation
no comment, neutral,Evaluation
"No, nothing.", neutral,Evaluation
"Thank you, ma'am", positive,Synthesis
No, neutral,Evaluation
Nothing to say very pedagogue, positive,Synthesis
I enjoyed the course very much and how it was presented, positive,Synthesis
Thank you ma'am because your course was really interesting and captivating, positive,Synthesis
The explanations were very clear thank you., positive,Knowledge
No comment., neutral,Evaluation
no comment, neutral,Evaluation
I think it would be good to further develop the chapter on water treatment to allow Industrial Process Engineering and Sustainable Development students to have some notions of water treatment., positive,Synthesis
I have nothing to say about the course and the teaching method is really perfect, positive,Synthesis
"I enjoyed this teaching method too much, it made it possible to assimilate the course well and it made the tutorial session interactive and more enriching.", positive,Synthesis
No comment., neutral,Evaluation
No comment, neutral,Evaluation
No remarks, neutral,Evaluation
"I enjoyed the method of work, however I might have liked to have a dedicated time before starting tutorial to ask questions about the course or receive a summary of the essentials of the course in order to better address tutorial.", positive,Synthesis
no comment, neutral,Evaluation
Well organized course thanks, positive,Synthesis
Nothing., neutral,Evaluation
We would like the course videos to take place more slowly, neutral,Synthesis
It would be more interesting to make the tutorial session more interactive in the sense that the teacher explains the tutorial and is corrected with an effort in addition to the students to interact and not let the session pass in a monotonous way., negative,Synthesis
No, neutral,Evaluation
"Good working method, developing autonomy and adapted to the different rhythms of students", positive,Application
Nice pedagogy, positive,Synthesis
I think it's a good method., positive,Application
No, neutral,Evaluation
Lectures should be preferred., negative,Synthesis
It's a good methodology., positive,Synthesis
No comment, neutral,Evaluation
The teacher has a good knowledge of her subject and this is to facilitate the teaching method., positive,Knowledge
No, neutral,Evaluation
Thanks for the course, positive,Synthesis
I think this method is very organized and not too busy. It gives you time to assimilate the course., positive,Application
Nothing to report, neutral,Evaluation
All right., neutral,Evaluation
No remarks, neutral,Evaluation
