StudentComments,sent_pretrained,target
excellent,pos,pos
best,pos,pos
good,pos,pos
good,pos,pos
he is a nice guy.,pos,pos
sir is good,pos,pos
sir is a very good human being,pos,pos
good,pos,pos
she is a very good teacher.very helpful and caring,pos,pos
he is a good teacher.,pos,pos
ok,neu,neu
he is a good faculty,pos,pos
very good faculty,pos,pos
he's a very sincere and caring and great teacher,pos,pos
sir is really polite.,pos,pos
one of the best faculty i think in computer network,pos,pos
he know how to teach even he is a new teacher,pos,pos
best,pos,pos
best faculty,pos,pos
good,pos,pos
good,pos,pos
good faculty,pos,pos
ok,neu,neu
"my favorite teacher was my freshman computer teacher. he was one of the goofiest people i ever knew, but incredibly nice and you could really tell he cared about the subject and all of his students. his class was always the best - i felt most comfortable in the environment he set up and it was fun every day. i had hated math up until that point, but he taught me to love it! he was always so clear in his explanations and i could always understand what he was trying to get at. he always came into the classroom bring a pos attitude that set us all going",pos,pos
good sir,pos,pos
he is a very good teacher.,pos,pos
good,pos,pos
he is a good teacher but gives poor attention to students,neg,neg
he is good teacher,pos,pos
nice,pos,pos
sir is just too good,pos,pos
good teacher,pos,pos
cool,pos,pos
she is the best math teacher,pos,pos
jossssssssssssssssssssssssssssssssss,neu,neu
not good but not so bad.,neg,neg
awesome mam,pos,pos
good,pos,pos
good,pos,pos
very good teacher,pos,pos
good,pos,pos
remarkable faculty .,pos,pos
good,pos,pos
he is a good teacher,pos,pos
very good teacher. he is very understable.,pos,pos
"worst teacher in the world i think. his behavior is soo bad. he could be a good student in his student life bt his not a good teacher. he dont teach properly. he just skip skip and skip. in theory class he teach some few word. but he dont show any thing in lab class. he just upload some slides and order use to present his slide. if i have to learn every thing from you-tube and google then why should i pay for this course. all this are just a shit. because no action will be taken against him. me , we and every one know this. he attend the class proper time but start the class 1.3 hour later. and then start the viva. why he takes viva every cls where he dont teach any thing. just nothing to say .",neg,neg
good,pos,pos
best teacher,pos,pos
all faculties member are very good,pos,pos
one of my best teacher in aiub.,pos,pos
"here is my choice list one of the univercity,s i love the campus and respect to the all of our teachers ,hope for the best wish me in luck",pos,pos
good,pos,pos
nice,pos,pos
the classes taken are easy to understand,pos,pos
good in profession,pos,pos
good,pos,pos
moderate,neu,neu
highly dedicated and nice teaching strategy,pos,pos
"he favours some of his favourite students,no matter how bad they presents themselves from others.",pos,pos
very good person and teacher.,pos,pos
he is a good instructor,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
no comments.,neu,neu
good,pos,pos
no,neu,neu
awesome,pos,pos
gd,neu,neu
good teacher,pos,pos
good,pos,pos
he is not bad,neu,neu
he is a good teacher.,pos,pos
very good teacher.,pos,pos
he has got amazing personality and his teaching techniques are realy effective and amazing. i think he is one of the best teacher in aiub,pos,pos
good teacher,pos,pos
she is handsome faculty.,pos,pos
teaching style good for me,pos,pos
best teacher,pos,pos
he is dedicated to his profession,pos,pos
have all qualities that a good teacher need.,pos,pos
good,pos,pos
?best teacher?,neu,neu
good,pos,pos
good,pos,pos
she is very very well.,pos,pos
good,pos,pos
good,pos,pos
very good faculty,pos,pos
she is a good teacher. teaching quality and personality is very good.,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
no com,neu,neu
he has a good knowledge but he often fails to make us understand that thing. he some time comes late but when we are late he becomes rude to ua. he always fever some students in a certain class. he make a distungish between students.,neg,neg
good faculty,pos,pos
he is a good teacher,pos,pos
good,pos,pos
go,neu,neu
thank you,pos,pos
awesome teacher. rocking,pos,pos
good,pos,pos
he is my one of the best teacher.i inspired by him.,pos,pos
disagree :(,neg,neg
good teacher,pos,pos
best in teaching,pos,pos
"i am a victim of ""nepotism"" under him. sometimes his behaviour is very unprofessional.",neg,neg
good,pos,pos
good,pos,pos
all good.,pos,pos
teaching style is not good.,neg,neg
good teacher,pos,pos
sir is very punctual and he always provide a clear description of all the topics.,pos,pos
as a teacher he is perfect,pos,pos
good,pos,pos
ok,neu,neu
good,pos,pos
good,pos,pos
best,pos,pos
he is best,pos,pos
good,pos,pos
good,pos,pos
good. very good,pos,pos
well,neu,neu
awesome teacher,pos,pos
ok,neu,neu
d,neu,neu
he teaches well but sometimes he speaks very rudely and criticize the students hard.,neg,neg
he is good,pos,pos
he is so friendly and helps us a lot,pos,pos
everything is ok .,pos,pos
f,neu,neu
good,pos,pos
he is a good man and very much cooperative,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
should behave well with students and stop using abusive word.,neu,neu
no comment !!,neu,neu
so so,neu,neu
very good,pos,pos
good,pos,pos
good semester,pos,pos
good faculty,pos,pos
he is a good teacher,pos,pos
excellent faculty .,pos,pos
good,pos,pos
he is a good teacher,pos,pos
he is good.,pos,pos
he is really helpful and attentive towards his students. i really like his style of teaching.,pos,pos
good,pos,pos
she is the best.,pos,pos
bad faculty,neg,neg
i'm happy to be in this teachers class,pos,pos
one of the best teachers.,pos,pos
very good,pos,pos
very good,pos,pos
very good faculty,pos,pos
good,pos,pos
she is a very good teacher with humble attitude. she can express everything in a easy way.,pos,pos
good faculty,pos,pos
good faculty for math i guess,pos,pos
excellent sir,pos,pos
very good faculty,pos,pos
i don't like his teaching style. he is not interesting,neg,neg
he is a good teacher,pos,pos
change your behaviour your behaviour is very very very very rude and disgusting. i think he need a course about how to behave with students.students are not his enemy they came to learn from him but he behaves they are enemy of his.,neg,neg
he's good,pos,pos
good,pos,pos
he is a very good teacher.,pos,pos
he's not that attentive while doing lectures.sometimes he just goes away throwing us a case.,neg,neg
perfect,pos,pos
very gud but strict.,neu,neu
all the best.,pos,pos
nothing to say,neu,neu
no comments.,neu,neu
good faculty,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
gd,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
very good,pos,pos
very good teacher,pos,pos
good,pos,pos
her teaching process is very good,pos,pos
best,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
well,neu,neu
awesome,pos,pos
she is one of the best faculty,pos,pos
best,pos,pos
he is moderate,neu,neu
she is a good teacher.,pos,pos
he is good teacher he teaches us carefully and every student understand his lecture,pos,pos
good,pos,pos
very good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
not good,neg,neg
she is a good teacher,pos,pos
good faculty,pos,pos
good,pos,pos
well,neu,neu
he is a good teacher.,pos,pos
good,pos,pos
he is a very very good teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
i have nothing to say.,neg,neg
i am satisfied.,pos,pos
very nice teacher,pos,pos
good teacher.,pos,pos
good,pos,pos
tabassum zarin ma'am is very helpful towards her students & is a very nice teacher.,pos,pos
not bad.,neu,neu
he is one of the best faculty of aiub.,pos,pos
good,pos,pos
a good teacher,pos,pos
good,pos,pos
he is an excellent teacher.,pos,pos
he is a good lecturer i enjoy his lectures,pos,pos
my favourite faculty,pos,pos
he is great teacher,pos,pos
time wasting machine.,neg,neg
sir was too good. very co-operative and so much friendly. so it was easy to understand all the topic.,pos,pos
excellent teaching skill.,pos,pos
good sir,pos,pos
good,pos,pos
he is good,pos,pos
good,pos,pos
no coments,neu,neu
good,pos,pos
he has knowledge about the subject. but he lacks the technique of teaching. many students doesn't understand lectures. aa a result they have to depend on handouts and book,neg,neg
better,pos,pos
good,pos,pos
he is too too much strict,neg,neg
good faculty overall.,pos,pos
she is perfect for this course. ;),pos,pos
good,pos,pos
good,pos,pos
no comments.,neu,neu
well,neu,neu
good,pos,pos
he does not provide too muche example.,neg,neg
good teacher,pos,pos
excellent and a caring person,pos,pos
best,pos,pos
best,pos,pos
better,pos,pos
he is a good teacher,pos,pos
good,pos,pos
good teacher,pos,pos
he is very nicely teacher.all time maintaint rule.,pos,pos
good teacher,pos,pos
good,pos,pos
good,pos,pos
his lecture is very fine and i understood attentively his lesson,pos,pos
good,pos,pos
ok,neu,neu
his teaching technique is very good.,pos,pos
she is good,pos,pos
a perfect faculty,pos,pos
favourite teacher in aiub law department,pos,pos
ideal teacher,pos,pos
"he is an awesome, punctual, honest and talent faculty. he always try to give good advise to us so that we can prosper in life.",pos,pos
he is well,pos,pos
sir's behavior is very good. he explained math much better. i like the way he writes in his notebook and it makes it much easier to understand.,pos,pos
good in english. takes care of students,pos,pos
well & good,pos,pos
good,pos,pos
is a good teacher,pos,pos
good,pos,pos
good,pos,pos
sir is very caring and he is helpful in all kinds of work including solving all kings of math.,pos,pos
professional and i like it as a student.grades does not matter to me rather what i can learn from such an experienced faculty means a lot to me for myself indeed and i do it by him so far so better.thats all to explain him.regards,pos,pos
he is very caring teacher.,pos,pos
good,pos,pos
he is a nice man,pos,pos
best,pos,pos
good teacher,pos,pos
sir is wise man,pos,pos
maintained a good student teacher relations and communicates to each and every student properly and solves the problems,pos,pos
very good,pos,pos
he is a good teacher.,pos,pos
ok,neu,neu
good,pos,pos
a good teacher,pos,pos
sir is good.,pos,pos
hi is a good teacher.teaches us well.nothing for judge him.such a good man too.,pos,pos
good faculty,pos,pos
good,pos,pos
proper teaching style follow,neu,neu
extreamly best.,pos,pos
he is good.,pos,pos
good,pos,pos
i'm satisfied,pos,pos
"she was fine in online class but in offline, she do not upload any lecture slide. she noticed us class note is the only way that you can study for final term. it is very difficulties to understand and take note simultaneously.",neg,neg
good,pos,pos
he is always a nice person and a good teacher.,pos,pos
nothing to say about him,neg,neg
good,pos,pos
good,pos,pos
ok,neu,neu
he never uploads any lecture which is very much disturbing,neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
she is vary good teacher.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good teacher indeed.,pos,pos
he is a good teacher.,pos,pos
"policies, grading system, procedures are clearly explained and complied with by both the student and teacher",neu,neu
best,pos,pos
nice teacher,pos,pos
he is a good teacher .,pos,pos
samawat sir is the best <3 it was my dream to do a course with samawat sir and finally it comes true to the fullest with 2 courses in the semester :d sir is just the best,pos,pos
good,pos,pos
nice,pos,pos
good,pos,pos
good .,pos,pos
one of the best faculty in marketing department.,pos,pos
she is an excellent and one of my favourite teachers.,pos,pos
nice faculty,pos,pos
conventional teaching style and class is not interesting.,neg,neg
good teacher,pos,pos
no cmnts,neu,neu
best faculty.,pos,pos
he is a very good teacher,pos,pos
good,pos,pos
excellent teaching capacity,pos,pos
i have no comments,neu,neu
very responsible teacher,pos,pos
teahing style good but huge infomation given that's why bad inpact our self,neg,neg
good,pos,pos
agree,neu,neu
good,pos,pos
"mam, you are very good teacher.",pos,pos
good,pos,pos
he makes the class easy to understand,pos,pos
yes,pos,pos
best,pos,pos
teaches all the courses topics with proper examples and also explains in depth.,neu,neu
good,pos,pos
he is good,pos,pos
good,pos,pos
he is the pos role model for each and every students.,pos,pos
he is a very good faculty.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good faculty,pos,pos
"i hope god willingly that i or my grades wont be attacked in any way because i am being very frank about our teachers.i had a very hard in my most favourite subject called physics and whats more and worse is that studying these sorts of subjects becomes a burden for me only when the teachers fail to make us understand (because of their lack of teaching methods, english and etc) please aiub, its high time that you should get some good and effective lecturers--this is eee not bba.",neg,neg
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good teacher,pos,pos
good,pos,pos
he makes us understand in difficult way.,neu,neu
good,pos,pos
sir is very interesting and intelligent teacher,pos,pos
no comments.,neu,neu
best faculty of aiub,pos,pos
good,pos,pos
he always motivates us for learning and he tries to make things easy to understand.,pos,pos
not bad,neu,neu
good teacher,pos,pos
good,pos,pos
"he is the best pl teacher, my favorite teacher",pos,pos
he is a good teacher.,pos,pos
her teaching capability is not so good.,neg,neg
nice,pos,pos
good,pos,pos
best teacher,pos,pos
he is a good teacher,pos,pos
his methods of explaining and cooperating is really helpful.he gives proper instructions and knowledges to clear our basics.he helps us best to complete and understand the codes given in lab task.we will be lucky if we get him as course teacher in every semester.,pos,pos
teacher with great humor,pos,pos
good,pos,pos
realistic man.valuable teacher in our universit.we proud our sir,pos,pos
mam is good at all ??,neu,neu
he is a good teacher. and his teaching styl is good,pos,pos
srcweravs g,neu,neu
good,pos,pos
thankful to my honourable course teacher and lucky to be a student of this faculty,pos,pos
good,pos,pos
he is good.,pos,pos
i like him,pos,pos
best teacher,pos,pos
not suitable for aiub,neg,neg
good,pos,pos
i think his teaching system is helpful for us to gain proper knowledge.,pos,pos
y,pos,pos
good,pos,pos
good,pos,pos
best teacher of my life !,pos,pos
he is a very good teacher.,pos,pos
overall good,pos,pos
nice teacher,pos,pos
i wish i could get him in all my math courses!,pos,pos
mam is very rude.not friendly to us. so students feel not so good in her class.n also she gives us very lowest number.,neg,neg
absolute geius,neu,neu
overall good faculty,pos,pos
best teacher ever!,pos,pos
he is a good faculty.,pos,pos
good,pos,pos
sir is very polite.,pos,pos
he is so much careful to all the students.,neu,neu
good teacher,pos,pos
good,pos,pos
she is perfect.,pos,pos
good,pos,pos
nice faculty,pos,pos
sir is good,pos,pos
he is a good teacher,pos,pos
i do agree,neu,neu
onek valo,neu,neu
good person,pos,pos
she is very friendly.,pos,pos
overall perfect,pos,pos
good teacher,pos,pos
??? ???? ????? ???? ????? ????? ??????? ????,neu,neu
not fluent in english.she has to be more smart.,neg,neg
very good,pos,pos
good,pos,pos
no comment for him,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
he is good,pos,pos
very good,pos,pos
he is not bad,neu,neu
overall he's a nice teacher.,pos,pos
good,pos,pos
hasan sir is a very good faculty who acknowledge us with every lectures.,pos,pos
he is a good teacher.he teach us math in easier ways.i really want math teacher like him.,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
not so bad teacher.,neu,neu
good teacher,pos,pos
good as a newcomer,pos,pos
good,pos,pos
he is one of the best faculty i have got so far cause his care ness towards us is magnificent and he understand our situations and try to solve our problem as well,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
she is excellent,pos,pos
good,pos,pos
it would be better for me if he could give some breaks between lessons,neu,neu
no comments.,neu,neu
good,pos,pos
good,pos,pos
very good person,pos,pos
she is very helpful.,pos,pos
good,pos,pos
good,pos,pos
she is not so free.i fear her.but obviously she is good as a teacher.,neg,neg
mam should talk more bangla in class so that student can understand properly.,neu,neu
good,pos,pos
good,pos,pos
excellent,pos,pos
good,pos,pos
good,pos,pos
very good faculty.,pos,pos
good teacher,pos,pos
good faculty !,pos,pos
good,pos,pos
he is well,pos,pos
good,pos,pos
"he is friendly, kind and knowledgeable.",pos,pos
undoubtly one of the best teacher and a great human being i have seen in my life.respect for you sir.,pos,pos
good,pos,pos
her over all teaching style is good but pronnontuation is not clear,neu,neu
not good,neg,neg
not a siutable teacher for this course.,neg,neg
sir is really helpful. he makes us understand things on time whenever needed. he has got a very gud personality .,pos,pos
punctual teacher,neu,neu
helpful,pos,pos
good,pos,pos
good,pos,pos
overall he is agood teacher,pos,pos
good,pos,pos
good,pos,pos
she is good at her work. but need to improve in students teacher co-relation. besides her instructions on assignments and class work are not clear.,neu,neu
very good teacher,pos,pos
good,pos,pos
good,pos,pos
gd,neu,neu
she is a good teacher,pos,pos
in the matter of giving marks in the exam is so low for students and did'nt give any consideration about grading .,neg,neg
good,pos,pos
he is a good teacher,pos,pos
he is sucha supportive and frindly person in aiun,pos,pos
good,pos,pos
agree,neu,neu
really a nice & friendly as a teacher love you mam??,pos,pos
good human being with good teaching skills.,pos,pos
he is good as a teacher,pos,pos
not bad,neu,neu
she has nice teaching style,pos,pos
very helpful faculty,pos,pos
good faculty.,pos,pos
good,pos,pos
he is improve teacher.,neu,neu
this faculty is just awsome. i want to do another course under his guidance,pos,pos
can't understand her lecture properly,neg,neg
good sir,pos,pos
good,pos,pos
very lucky by having such a good teacher :),pos,pos
better managing quality than teaching.,neu,neu
good faculty.,pos,pos
"best faculty , students and teacher relation is too good .",pos,pos
best,pos,pos
ok,neu,neu
she was great,pos,pos
very good faculty.,pos,pos
quiet good!,pos,pos
he is a good teacher .,pos,pos
good teacher,pos,pos
she is very good as a teacher,pos,pos
good,pos,pos
well,neu,neu
good,pos,pos
good,pos,pos
good,pos,pos
very energatic.,neu,neu
best teacher,pos,pos
good,pos,pos
teachers like him are needed to know whats math about.how to understand it,neu,neu
so nice teacher,pos,pos
ok,neu,neu
sir is very much strict,neu,neu
good,pos,pos
she is very sweet and rich in knowledge,pos,pos
nice,pos,pos
she is good,pos,pos
may allah bless him.,pos,pos
good,pos,pos
he is good,pos,pos
dd,neu,neu
good,pos,pos
excellent,pos,pos
good,pos,pos
very good as a human being,pos,pos
dedicated & discipline,pos,pos
he is a good teacher.,pos,pos
she is very good at teaching skills,pos,pos
very very good.,pos,pos
sir need to give partial marking to student,neu,neu
nothing,neu,neu
g,neu,neu
she is a good teacher,pos,pos
not satisfied,neg,neg
a knowledgeable person,pos,pos
good,pos,pos
sir is very good,pos,pos
he is a good teacher,pos,pos
"wishing you joy and happiness, you are an amazing teacher, and you only deserve the best.you are the spark, the inspiration, the guide, the candle to my life. i am deeply thankful that you are my teacher.books, homework and knowledge, you are the pillar of our success and in the classroom, you are the best.",pos,pos
he is a good teacher.,pos,pos
"sir, is a very good person.he try to his best to understood the students in shortcut & techniques. but some has weakness.",pos,pos
he is a very good teacher.,pos,pos
good,pos,pos
good,pos,pos
he teaches well,pos,pos
an honest speaker and a good teacher. can't say more about him.,pos,pos
good,pos,pos
good faculty,pos,pos
ok,neu,neu
he is a good teacher,pos,pos
he is a nice teacher,pos,pos
excellent,pos,pos
very good teacher,pos,pos
very good in teaching this subject.,pos,pos
very good,pos,pos
gd,neu,neu
i agree,neu,neu
ok,neu,neu
is good,pos,pos
sir is awesome,pos,pos
he is a very good teacher,pos,pos
good,pos,pos
good,pos,pos
very good teacher.,pos,pos
he has much knowledge about the course. very concerned & responsible faculty.,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good teaching,pos,pos
thank you.,pos,pos
adnan sir is an awesome teacher. really enjoy his lectures a lot.,pos,pos
one of the best faculty in marketing department.,pos,pos
good,pos,pos
good,pos,pos
he is a good teacher.,pos,pos
good,pos,pos
good,pos,pos
she is a very good teacher. she always helps us to understand the topics properly. i pray for her long life.,pos,pos
good,pos,pos
our honorable instructor is really dedicated to the teaching and considers the students' facts while taking classes and explaining.,pos,pos
good teacher!,pos,pos
good,pos,pos
a good teacher!,pos,pos
he shows intellectual grasp of the subject matter.,pos,pos
good teaching,pos,pos
i like her,pos,pos
well,neu,neu
he is a good teacher,pos,pos
good,pos,pos
he is 1st choice faculty in aiub,neu,neu
good,pos,pos
very good teacher,pos,pos
good,pos,pos
ma'am is very helpful and considerate with any issue with students.,pos,pos
good teacher,pos,pos
good,pos,pos
good faculty,pos,pos
mam kripon. marks dai na.,neu,neu
good,pos,pos
glad ur my teacher!!,pos,pos
he has a vast knolwdge of math.but he goes a bit faster. he is a bit careless.,neu,neu
good,pos,pos
bad,neg,neg
"she is a good teacher. but science bacground students might have some problem to understand some complecated accounting terms.for example,ratio analysis.she has to give more detail and overall clear idea about some hard components.however,she has the ability to help student for their weekness.",neu,neu
good,pos,pos
agree,neu,neu
good,pos,pos
yes,pos,pos
best for this subject,pos,pos
good,pos,pos
good faculty,pos,pos
good,pos,pos
sir,neu,neu
good,pos,pos
he is a very good teacher,pos,pos
he has the awesome teaching power,pos,pos
best,pos,pos
he is a very good teacher,pos,pos
support all system,neu,neu
well,neu,neu
good,pos,pos
nice and competent teacher,pos,pos
he is a good teacher.,pos,pos
good faculty,pos,pos
well,neu,neu
very good :),pos,pos
good,pos,pos
good,pos,pos
learnt a lot from this course,neu,neu
"i am satisfied on my teacher and his teaching method ,",pos,pos
sir is very friendly and polite . he help us to see clear vision about the course .,pos,pos
good,pos,pos
a lot of good people and i am very proud to have the opportunity to learn from him.,pos,pos
no comments.,neu,neu
nice,pos,pos
she is a good teacher,pos,pos
best,pos,pos
he is good teacher.,pos,pos
she is very good,pos,pos
good teacher,pos,pos
nice faculty,pos,pos
i don't know her :p,neu,neu
good,pos,pos
good,pos,pos
great,pos,pos
nice,pos,pos
"she is friendly, kind and knowledgeable. she always feel free to repeat the topic if we don't understand or due to bad network problem if we miss something.",pos,pos
sir is a good teacher but his grading system is unclear.,neu,neu
no,neu,neu
he is one of the best teacher in aiub.,pos,pos
very good.,pos,pos
she should teach us how to use software,neu,neu
excellent,pos,pos
good,pos,pos
his teaching style is good.,pos,pos
superb teacher,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
good,pos,pos
not at all bad,neu,neu
good,pos,pos
nice person,pos,pos
"miss rinku, fahrima is a very good teacher.",pos,pos
thank you,pos,pos
good,pos,pos
sir helps us to learn better and explains everything if we fail to understand a certain topic,pos,pos
ok,neu,neu
good,pos,pos
good,pos,pos
she is the best teacher,pos,pos
good faculty and friendly,pos,pos
madam is good,pos,pos
first course with him and that’s the best experience ??,pos,pos
she is hard to understand,neg,neg
good,pos,pos
good,pos,pos
no comment.,neu,neu
good,pos,pos
i have learned so much from sir. he is patient and always eager to help the students. he is an excellent teacher.,pos,pos
ok,neu,neu
verry good :),pos,pos
good,pos,pos
he is a fantastic person and a very good teacher ??,pos,pos
good teacher,pos,pos
good faculty,pos,pos
he is a very good teacher. he always keep the class interesting and lively . he is very energetic and has a wonderful way of simplifying explanations of more complex issues into clearly understandable and memorable. he can teach us everything in easy way. he is very punctual and always give the result fairly.,pos,pos
not bad,neu,neu
she is good,pos,pos
good teacher,pos,pos
good teacher,pos,pos
the teaching method is very effective.,pos,pos
ok,neu,neu
our teacher is very good and teaches us lot of things.,pos,pos
good behaviour and very knowledgeable person,pos,pos
good,pos,pos
good,pos,pos
"i don't like his teaching. i can't understand her lesson. when i ask some question ,he can't teach me friendly. his behaved not so good. he behaved everyone rudely, he is a good teacher, his discipline is good but can't understimate the lesson to the student.",neg,neg
best,pos,pos
she takes really good care of her students.,pos,pos
i agree with this,pos,pos
his lecture delivary system is not proper.,neg,neg
mam is very sweet and her teaching way is also good.,pos,pos
tanvir sir can maintain the level of friendship with students and at a time can control them also.,pos,pos
very good teacher,pos,pos
great teacher!,pos,pos
nice,pos,pos
he is a very good teacher but why he didn't uploaded the grades till now,pos,pos
as a teacher he is outstanding,pos,pos
her teaching style is effective,pos,pos
m,neu,neu
she is a good teacher.,pos,pos
she is very good and friendly person,pos,pos
he is very sinceir about us,neu,neu
good person,pos,pos
best teacher. very strict in copy paste case. its very good. teaching is best,pos,pos
best faculty,pos,pos
ok,neu,neu
good teaching method and very well behaved,pos,pos
too much good and talented sir i had ever get in my life.,pos,pos
best,pos,pos
good,pos,pos
best teacher,pos,pos
not good,neg,neg
good,pos,pos
a good teacher,pos,pos
good,pos,pos
great,pos,pos
very calm in nature,pos,pos
thank you,pos,pos
good,pos,pos
no comment.,neu,neu
fair,neu,neu
